,MAE,MSE,RMSE,R2,set,modelo
0,5.31864420560968e-12,4.4365071989743185e-23,6.660711072381325e-12,0.9619963583069754,test,Linear Regresion
1,5.650510771088024e-12,5.867691273637772e-23,7.660085687273852e-12,0.9528632747405342,train,LinearRegression
